event,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,currency,livingArea,bathrooms,bedrooms,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
Listed for sale,615000,513,San Marcos,CA,1977,222 Roma Ave,92069,USD,1200,2,3,1,2,1,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,260000,441,San Marcos,CA,1980,3427 Capalina Rd APT 27,92069,USD,589,1,1,1,0,0,One,0,1,0,CONDO,San Diego County
Listed for sale,1050000,362,San Marcos,CA,2000,694 Feather Dr,92069,USD,2902,3,4,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,799995,351,San Marcos,CA,1977,1063 Janet Pl,92069,USD,2280,2,4,1,2,1,Two,1,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,425000,398,San Marcos,CA,1981,582 Beverly Pl,92078,USD,1068,2,2,1,1,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,999999,344,Escondido,CA,1975,28548 Mountain Meadow Rd,92026,USD,2905,5,3,1,4,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,439900,415,San Marcos,CA,1980,1657 Rue De Valle,92078,USD,1060,2,2,1,1,1,Two,0,1,0,TOWNHOUSE,San Diego County
Listed for sale,749900,288,Escondido,CA,2004,10236 Spruce Woodlands Way,92026,USD,2601,3,3,1,3,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,974000,366,Escondido,CA,1993,2073 Woodland Heights Gln,92026,USD,2660,4,4,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1625000,607,San Diego,CA,1949,2305 Hartford St,92110,USD,2678,3,2,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,599000,566,San Diego,CA,1980,5957 Gaines St,92110,USD,1058,2,2,1,1,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,995000,0,San Diego,CA,1952,2290 Congress St,92110,USD,0,0,0,0,0,0,One,0,0,0,MULTI_FAMILY,San Diego County
Listed for sale,749900,593,San Diego,CA,1993,3928 Conde St #2,92110,USD,1264,2,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,649950,455,San Diego,CA,1989,5895 Friars Rd APT 5401,92110,USD,1430,2,3,1,0,0,One,1,1,0,CONDO,San Diego County
Listed for sale,2600000,620,San Diego,CA,2010,1801 Illion St,92110,USD,4196,5,6,1,3,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,949000,298,Chula Vista,CA,2005,1477 Trailwood Ave,91913,USD,3181,4,5,1,3,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,585000,386,Chula Vista,CA,2006,2145 Caminito Leonzio UNIT 6,91915,USD,1515,3,3,1,2,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,780900,417,Chula Vista,CA,2004,1355 Vallejo Mills St,91913,USD,1873,3,4,1,2,1,0,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,769900,333,Chula Vista,CA,2005,2216 Caminito Pienza,91915,USD,2310,3,4,1,2,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,449000,479,Chula Vista,CA,1987,730 Eastshore Ter UNIT 3,91913,USD,937,3,2,1,1,1,Two,0,1,0,TOWNHOUSE,San Diego County
Listed for sale,699000,342,Chula Vista,CA,2019,1825 Mint Ter #1,91915,USD,2046,4,4,1,2,1,Three Or More,0,1,0,TOWNHOUSE,San Diego County
Listed for sale,850000,339,Chula Vista,CA,2001,1551 Pleasanton Rd,91913,USD,2507,3,5,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,550000,324,Chula Vista,CA,2004,2707 Persimmon Ct,91915,USD,1697,4,3,1,2,1,Three Or More,0,1,0,CONDO,San Diego County
Listed for sale,475000,417,Chula Vista,CA,2002,2025 Azure Cv UNIT 4,91915,USD,1139,2,2,1,1,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,615000,371,Chula Vista,CA,2014,2185 Caminito Novara #3,91915,USD,1656,3,3,1,2,1,Two,0,1,0,TOWNHOUSE,San Diego County
Listed for sale,1012000,355,Chula Vista,CA,2004,1655 View Park Way,91913,USD,2849,3,4,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,749900,481,Chula Vista,CA,2004,1251 Jamestown Dr,91913,USD,1559,3,3,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,679999,436,Chula Vista,CA,2004,1952 Geyserville St,91913,USD,1559,3,3,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,479900,453,Chula Vista,CA,2005,1811 Calvedos Dr,91913,USD,1060,2,2,1,1,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,1099900,427,Chula Vista,CA,1998,2393 Green River Dr,91915,USD,2578,3,5,1,3,1,Two,1,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,679000,554,Chula Vista,CA,1998,1542 Shoreacres Dr,91915,USD,1226,2,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,785000,419,Chula Vista,CA,2004,1325 Escalon Pl,91913,USD,1873,3,4,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,699000,473,Chula Vista,CA,2000,1067 Grass Valley Rd,91913,USD,1477,3,3,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,439000,398,El Cajon,CA,1985,1111 Decker St UNIT C,92019,USD,1104,2,2,1,1,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,510000,483,San Diego,CA,1993,18630 Caminito Cantilena UNIT 299,92128,USD,1056,2,2,1,1,1,One,0,0,0,CONDO,San Diego County
Listed for sale,749990,345,San Diego,CA,1930,6140 Wunderlin Ave,92114,USD,2172,2,4,1,2,1,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,699900,425,San Diego,CA,1948,851 60th St,92114,USD,1645,2,4,0,0,0,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,649000,464,San Diego,CA,1960,5677 Division St,92114,USD,1399,2,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,525000,425,San Diego,CA,2007,6368 Akins Ave,92114,USD,1235,4,3,1,2,1,Three Or More,0,1,0,CONDO,San Diego County
Listed for sale,535000,0,San Diego,CA,1958,5920-5922 Linnet St,92114,USD,0,0,0,0,0,0,One,0,0,0,MULTI_FAMILY,San Diego County
Listed for sale,725000,432,San Diego,CA,1981,7385 Peter Pan Ave,92114,USD,1680,3,4,1,0,0,Two,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,750000,0,San Diego,CA,1958,1214-16 Wren St,92114,USD,0,0,0,0,0,0,One,0,0,0,MULTI_FAMILY,San Diego County
Listed for sale,619300,364,San Diego,CA,1962,118 Old Oak Dr,92114,USD,1700,3,4,1,2,0,0,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,1350000,359,Chula Vista,CA,2008,1315 N Echo Ridge Way,91915,USD,3764,5,4,1,3,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
